"edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"poisonous","sunken","fibrous","gray","yes","pungent","free","crowded","narrow","black","enlarging","equal","smooth","smooth","cinnamon","cinnamon","partial","white","two","pendant","black","numerous","urban"
"edible","convex","grooves","yellow","yes","almond","descending","close","broad","black","enlarging","cup","scaly","scaly","red","red","partial","white","one","pendant","purple","abundant","paths"
"edible","knobbed","scaly","brown","yes","anise","free","distant","broad","brown","tapering","cup","smooth","silky","buff","buff","partial","white","one","pendant","brown","several","grasses"
"poisonous","bell","smooth","white","yes","fishy","free","close","narrow","red","tapering","equal","smooth","silky","purple","gray","partial","white","b","none","black","scattered","urban"
"edible","bell","scaly","gray","no","none","notched","close","broad","orange","tapering","club","smooth","smooth","purple","red","partial","white","b","zone","white","abundant","grasses"
"edible","knobbed","scaly","yellow","no","almond","free","distant","narrow","brown","tapering","missing","smooth","smooth","buff","buff","partial","white","one","pendant","black","numerous","paths"
"edible","flat","fibrous","white","yes","almond","attached","close","broad","gray","enlarging","cup","smooth","fibrous","purple","purple","partial","white","one","pendant","white","numerous","meadows"
"edible","bell","smooth","white","yes","anise","free","close","broad","green","tapering","cup","smooth","smooth","white","white","universal","white","two","pendant","yellow","solitary","waste"
"poisonous","sunken","smooth","yellow","no","pungent","free","crowded","narrow","buff","tapering","rooted","smooth","smooth","purple","purple","partial","yellow","two","pendant","buff","several","waste"
"edible","bell","scaly","yellow","yes","almond","descending","close","broad","gray","enlarging","cup","scaly","scaly","purple","pink","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","scaly","green","yes","anise","notched","crowded","narrow","buff","enlarging","rooted","smooth","smooth","purple","purple","universal","yellow","one","sheathing","buff","numerous","grasses"
"edible","conical","grooves","yellow","yes","pungent","descending","distant","broad","brown","enlarging","cup","scaly","scaly","purple","purple","partial","white","one","flaring","white","scattered","grasses"
"edible","bell","grooves","cinnamon","yes","almond","free","close","broad","black","enlarging","club","scaly","smooth","brown","purple","partial","orange","one","flaring","brown","abundant","wood"
"poisonous","convex","grooves","white","yes","creosote","free","crowded","narrow","green","enlarging","rhizomorphs","scaly","scaly","purple","cinnamon","partial","orange","one","pendant","buff","several","grasses"
"edible","sunken","fibrous","red","yes","musty","attached","distant","broad","brown","enlarging","rhizomorphs","fibrous","fibrous","green","purple","partial","white","two","evanescent","black","abundant","grasses"
"edible","sunken","grooves","green","yes","none","descending","distant","narrow","black","enlarging","missing","smooth","scaly","pink","pink","partial","orange","one","large","brown","several","paths"
"edible","flat","fibrous","white","yes","fishy","attached","distant","broad","black","enlarging","equal","fibrous","fibrous","gray","gray","partial","brown","one","evanescent","brown","scattered","grasses"
"poisonous","convex","fibrous","brown","yes","pungent","free","close","broad","pink","enlarging","cup","smooth","fibrous","buff","purple","partial","white","one","evanescent","black","clustered","grasses"
